
Image Name                     PID Session Name        Session#    Mem Usage
conhost.exe                  15464 Console                    1     13,544 K
ipython.exe                  25044 Console                    1      3,984 K
python.exe                   27512 Console                    1     15,220 K
taskhostw.exe                18600 Console                    1     18,780 K
chromedriver.exe             26748 Console                    1     12,816 K
IGCC.exe                      3960 Console                    1     17,024 K
RuntimeBroker.exe            31776 Console                    1     23,756 K
Code.exe                     29652 Console                    1     57,764 K
Code.exe                     27420 Console                    1     22,668 K
Code.exe                      1804 Console                    1     84,672 K
Code.exe                     14300 Console                    1     37,724 K
Code.exe                     30764 Console                    1    109,396 K
Code.exe                     26092 Console                    1     57,560 K
Code.exe                     31828 Console                    1     44,932 K
conhost.exe                  29208 Console                    1      6,352 K
cmd.exe                       9120 Console                    1      4,180 K
CodeHelper.exe                6956 Console                    1     14,716 K
conhost.exe                  30636 Console                    1      5,952 K
conhost.exe                  27860 Console                    1      6,348 K
cmd.exe                      21664 Console                    1      4,164 K
python.exe                   21772 Console                    1      8,896 K
conhost.exe                   9824 Console                    1      5,940 K
chromedriver.exe             22024 Console                    1     13,904 K
chromedriver.exe             31120 Console                    1     13,876 K
chromedriver.exe             18452 Console                    1     13,768 K
chromedriver.exe             30888 Console                    1     12,904 K
Code.exe                     19872 Console                    1     34,044 K
chromedriver.exe             25116 Console                    1     12,904 K
RuntimeBroker.exe            16768 Console                    1     21,108 K
chromedriver.exe             28396 Console                    1     12,908 K
notepad++.exe                28972 Console                    1     26,580 K
chromedriver.exe             16732 Console                    1     12,788 K
chromedriver.exe             23608 Console                    1     14,000 K
chromedriver.exe             16904 Console                    1     13,984 K
chromedriver.exe             27392 Console                    1     14,080 K
chromedriver.exe             10984 Console                    1     13,852 K
EasyMail.UwpApp.exe          27944 Console                    1     13,300 K
RuntimeBroker.exe            32240 Console                    1      7,240 K
chromedriver.exe             20748 Console                    1     13,000 K
chromedriver.exe             19084 Console                    1     12,784 K
msedge.exe                   21624 Console                    1     40,516 K
msedge.exe                   32584 Console                    1     65,368 K
chromedriver.exe             19160 Console                    1     14,064 K
chromedriver.exe             26344 Console                    1     16,264 K
chromedriver.exe             25524 Console                    1     12,904 K
chromedriver.exe             23516 Console                    1     13,004 K
chromedriver.exe             25080 Console                    1     13,000 K
SearchApp.exe                16392 Console                    1    109,236 K
chromedriver.exe             19444 Console                    1     13,884 K
Lavasoft.WCAssistant.WinS    20464 Services                   0     46,556 K
WebCompanion.exe              9776 Console                    1     80,608 K
firefox.exe                  30288 Console                    1    593,204 K
firefox.exe                  14936 Console                    1    755,708 K
firefox.exe                  23648 Console                    1    366,860 K
firefox.exe                  31812 Console                    1    112,068 K
firefox.exe                  16584 Console                    1    116,692 K
firefox.exe                  23284 Console                    1    357,500 K
firefox.exe                  30948 Console                    1    662,312 K
firefox.exe                  16164 Console                    1    444,712 K
firefox.exe                  30916 Console                    1     16,416 K
firefox.exe                  14752 Console                    1    366,828 K
firefox.exe                  30008 Console                    1    418,548 K
firefox.exe                  29156 Console                    1    795,692 K
python.exe                   27180 Console                    1      8,428 K
conhost.exe                   4808 Console                    1      5,760 K
chromedriver.exe              7444 Console                    1     12,984 K
nssm.exe                       484 Services                   0      6,104 K
conhost.exe                  14840 Services                   0      8,124 K
grafana-server.exe            1376 Services                   0     37,800 K
audiodg.exe                  24136 Services                   0     98,448 K
firefox.exe                  19512 Console                    1    821,748 K
svchost.exe                   1216 Console                    1      8,716 K
SystemSettingsBroker.exe     30728 Console                    1     32,232 K
cmd.exe                      22832 Console                    1      3,960 K
conhost.exe                  28492 Console                    1     13,728 K
msedge.exe                    3488 Console                    1     84,272 K
LenovoVantageService.exe     10472 Services                   0     75,052 K
chromedriver.exe             15144 Console                    1     13,860 K
chromedriver.exe             15616 Console                    1     13,852 K
YourPhone.exe                10192 Console                    1     49,364 K
Lenovo.Vantage.AddinHost.     4020 Services                   0     33,508 K
Zoom.exe                      5464 Console                    1     50,668 K
openvpnserv.exe              10128 Services                   0      5,536 K
openvpn-gui.exe              19812 Console                    1     13,420 K
msedge.exe                    1552 Console                    1     63,980 K
nordvpn-service.exe          31876 Services                   0     72,776 K
conhost.exe                   3356 Services                   0      8,456 K
NordVPN.exe                  25248 Console                    1    365,832 K
svchost.exe                  29784 Console                    1      6,760 K
Lenovo.Modern.ImControlle    29748 Console                    1     48,520 K
svchost.exe                  31408 Services                   0      8,576 K
Lenovo.Modern.ImControlle    19684 Console                    1     34,964 K
Lenovo.Modern.ImControlle    23952 Console                    1     51,208 K
UserSSCtrl.exe               27500 Console                    1      6,820 K
msedge.exe                    5712 Console                    1     20,636 K
python.exe                   13508 Console                    1      8,636 K
conhost.exe                  26188 Console                    1      5,972 K
Lenovo.Modern.ImControlle    20104 Console                    1     46,808 K
SystemSettings.exe           25144 Console                    1      1,504 K
svchost.exe                   7016 Services                   0      5,868 K
python.exe                   21276 Console                    1      9,440 K
smartscreen.exe              16488 Console                    1     24,112 K
svchost.exe                  12636 Services                   0     18,228 K
svchost.exe                  21900 Services                   0      6,188 K
svchost.exe                  23832 Services                   0     11,692 K
cmd.exe                       8656 Console                    1      5,220 K
python.exe                   18040 Console                    1     23,284 K
geckodriver.exe              29780 Console                    1      5,896 K
firefox.exe                  20292 Console                    1      5,292 K
firefox.exe                   3632 Console                    1    319,888 K
firefox.exe                  19204 Console                    1    118,692 K
firefox.exe                  32228 Console                    1     91,108 K
firefox.exe                  10060 Console                    1     79,468 K
firefox.exe                   3412 Console                    1    129,660 K
firefox.exe                  24452 Console                    1     40,044 K
notepad.exe                  19468 Console                    1     17,588 K
notepad.exe                  18308 Console                    1     17,724 K
SearchProtocolHost.exe       30472 Console                    1      8,292 K
SearchFilterHost.exe         20572 Services                   0      7,368 K
cmd.exe                      15404 Console                    1      4,592 K
conhost.exe                  26820 Console                    1     16,836 K
BackgroundTransferHost.ex    18900 Console                    1     20,448 K
tasklist.exe                 12184 Console                    1      9,000 K
